,id,job_title,location,salary_currency,career_level,experience_level,education_level,employment_type,job_function,job_benefits,company_process_time,company_size,company_industry,job_description
8484,8484,Sr. Full Stack Developer,Jakarta Raya,IDR,Pegawai (non-manajemen & non-supervisor),7 tahun,Sarjana (S1),Penuh Waktu,"Komputer/Teknologi Informasi,IT-Perangkat Lunak","Waktu regular, Senin - Jumat;Bisnis (contoh: Kemeja)",30 days,Lebih dari 5000 pekerja,"Konsultasi (IT, Ilmu Pengetahuan, Teknis & Teknikal)","Working proficiency with Java, Spring, and Spring Boot is required.Experience building large web applications with Angular or React/Redux. (optional)Working with and managing a large code base.Familiar with source version control tools like Git.Experience with design and development of software at multiple architecture tiers.Experience with Bootstrap, and other major JavaScript libraries and frameworks (optional)Understanding of REST and JSONExperience building reusable JS components (optional)Knowledge and understanding of design pattersDeep knowledge and experience with front end web technologies: JS, CSS3, HTML5, Typescript (optional)Candidate must possess Bachelor DegreeMinimum 7-8 years experienceStrong skills in Java"
8485,8485,Copywriter (Product),Malang,IDR,Pegawai (non-manajemen & non-supervisor),1 tahun,Sarjana (S1),Penuh Waktu,"Penjualan / Pemasaran,Pemasaran/Pengembangan Bisnis","Kasual (contoh: Kaos);Office Hour, Senin - Jumat : 08:00 - 17:00",12 days,51 - 200 pekerja,Retail/Merchandise,"Mencari kata kunci terbaik & terbanyak pada search engine MarketplaceMenyusun deskripsi atau informasi produk secara lengkapMencari data produk dari sebuah video untuk dijadikan tambahan informasi pada deskripsiMengisi data up to date perubahan data setelah penulisan informasi produkResearch data keypoint & salespoint untuk dijadikan bahan penulisanResearch brand / product related topics.Kualifikasi:Pendidikan S1 Semua JurusanMinimal memiliki 1 tahun pengalaman kerja di bidang yang sama Usia maksimal 26 TahunMempunyai kemampuan CopywriterFamiliar dengan MarketplaceDapat bekerja secara individu maupun dengan timUpdate perkembangan Smartphone, Marketplace, dan OmnichannelPenempatan kota Malang"
8493,8493,SALES REPRESENTATIVE (MPP),Depok,IDR,Pegawai (non-manajemen & non-supervisor),1 tahun,"SMA, SMU/SMK/STM, Sertifikat Professional, D3 (Diploma), D4 (Diploma), Sarjana (S1)",Penuh Waktu,"Penjualan / Pemasaran,Penjualan Ritel",Asuransi kesehatan;Bisnis (contoh: Kemeja),24 days,201 - 500 pekerja,Agrikultural/Perkebunan/Peternakan Unggas/Perikanan,"Tanggung Jawab:Menjual produk poultry process: daging ayamMencari pelanggan baru;Menjalin hubungan baik dengan pelanggan.Survey dan melakukan kunjungan harian ke lokasi para calon/ prospective customer.atau agen frozen food di wilayah Depok dan sekitarnya.Kualifikasi:Pendidikan minimal SMK, usia maksimal 30 tahun.Pengalaman kerja sebagai sales minimal 1 tahun, lebih diutamakan yang memiliki pengalaman di bidang makanan dan minuman.Memiliki motor pribadi dan SIM C.Agresif, proaktif, dan mau bekerja dengan sistem 'target'.Memiliki jejaring yang luas dalam bidang industri makanan dan minuman lebih disukai.Menyukai pekerjaan di luar kantor (survey dan kunjungan ke calon pelanggan)Tekun, komunikatif dan berpenampilan rapi.Berkantor di Bogor."
8531,8531,KASIE SHE (PT. NUSIRA - Sumatera Utara),Medan,IDR,Pegawai (non-manajemen & non-supervisor),1 tahun,"Sertifikat Professional, D3 (Diploma), D4 (Diploma), Sarjana (S1)",Penuh Waktu,"Lainnya,Lainnya/Kategori tidak tersedia","Tip;Asuransi kesehatan;Parkir;Penglihatan;Waktu regular, Senin - Jumat;Formil (contoh: Kemeja + Dasi);Production Fee",25 days,Lebih dari 5000 pekerja,Manufaktur/Produksi,"Melakukan pemeriksaan harian terkait kegiatan operasional pabrik agar seluruh kegiatan sesuai dengan standar SHEMelakukan inspeksi secara rutin terhadap peralatan K3L untuk memastikan semua peralatan berfungsi sesuai standartMelakukan sosialisasi secara rutin bagi para pekerja terkait dengan aspek-aspek SHEMembuat laporan secara berkala terkait hasil pemeriksaan/ inspeksi/ investigasi yang dilakukan di area pabrikPemeriksaan dan pemeliharaan sarana dan prasarana K3 (rambu-rambu, hydrant, APAR, Kotak P3K, Spillkitz, etc) harianMengelola dokumen-dokumen terkait dengan kepentingan K3LKualifikasi:Diutamakan pendidikan minimal D3 dari jurusan Kesehatan Lingkungan, Teknik Lingkungan, atau setaraBersedia ditempatkan di pabrik PT, Kirana Megatara,TbkRegion SUMUT : PT. Nusira (Lokasi : Medan Amplas)Diutamakan memiliki sertifikat ahli K3 Umum dalam bidang tersebutMampu bekerja dengan team & memiliki Leadership yang baikMampu mengoperasikan komputer, dan mahir menggunakan Microsoft Office (Word, Excel, Powe rPoint)Memiliki komunikasi yang baik & berintegritas tinggi"
8537,8537,Desain Grafis,Jakarta Selatan,IDR,Pegawai (non-manajemen & non-supervisor),2 tahun,"Sertifikat Professional, D3 (Diploma), D4 (Diploma), Sarjana (S1)",Penuh Waktu,"Seni/Media/Komunikasi,Seni / Desain Kreatif","Tip;Waktu regular, Senin - Jumat;Bisnis (contoh: Kemeja)",17 days,51 - 200 pekerja,Retail/Merchandise,"Tugas & Tanggung Jawab :Membuat Desain yang kreatif dan menarik di berbagai media promo marketing yang bekerjasama dengan divisi Fashion creative & divisi MarketingMampu bekerjasama dengan timDapat menyelesaikanpekerjaan sesuai deadlineManajemen waktu yang baik dan terbiasa dengan tekanan target kerjaKualifikasi :Pendidikan D3/S1, jurusan Desain Grafis/ Multimedia/ Komunikasi Visual (DKV)Usia maksimal 35 tahunDiutamakan bisa Photografi dan VideografiMenguasai Adobe illustrator, In-Design dan Adobe photoshop serta wajib menyertakan portfolio designMemiliki background di dunia Graphic DesignMemiliki sense of Art & FashionBerjiwa seni, Kreatif & KomunikatifPengalaman minimal 2 tahunBekerja keras, dan bertanggung jawabDokument yang wajib dicantumkan pada resume dan dibawa saat interviewCuriculum vitae lengkapPortfolio Design"
8544,8544,Staff Perpajakan,Bekasi,IDR,Pegawai (non-manajemen & non-supervisor),3 tahun,"Sertifikat Professional, D3 (Diploma), D4 (Diploma), Sarjana (S1)",Penuh Waktu,"Akuntansi / Keuangan,Audit & Pajak",Bisnis (contoh: Kemeja),30 days,501 - 1000 pekerja,Konstruksi/Bangunan/Teknik,"Kualifikasi :Usia maksimal 30 tahun.Pendidikan terakhir minimal D3 Akuntansi (GPA >3).Berpengalaman di bidang yang bersangkutan minimal 3 tahun.Mampu membuat laporan keuangan baik secara sistem dan manual.Memahami tentang akuntansi perpajakan.Menguasai dan mengerti cara kerja ERP.Memiliki sertifikat Brevet A & B Perpajakan. (lebih diutamakan)Menguasai aplikasi pajak (e-faktur & e-spt), PIB dan sejenisnya.Memiliki pengetahuan yang kuat dalam laporan keuangan, pelaporanakuntansi, dan pajak.Jujur, teliti, disiplin, dan memiliki kemampuan analisa yang baik.Mampu bekerja dalam tim ataupun individu.Mampu bekerja dalam tekanan.Deskripsi Pekerjaan :Mendesain dan mengimplementasikan sistem pengumpulan data pajak.Melengkapi syarat - syarat perpajakan secara tepat waktu.Mempersiapkan dan memperbarui jadwal ketentuan pajak.Memberi nasihat kepada manajemen tentang dampak undang-undang baru terhadap kewajiban pajak.Melakukan dokumentasi data-data pajak secara rapi dan terstruktur.Mengumpulkan dokumen dan memproses dokumentasi pajak vendor untuk memastikan keakuratan tarif pemotongan pajak setiap faktur untuk memastikan kepatuhan pajak dengan pajak dan peraturan yang berlaku.Penugasan lain seperti yang diminta atau diinstruksikan oleh manajemen. Informasi TambahanTingkat Pekerjaan:      Pegawai (non-manajemen & non-supervisor)Kualifikasi:      Sarjana (S1)"
8552,8552,Warehouse Supervisor,Jakarta Utara,IDR,Supervisor/Koordinator,5 tahun,"Sarjana (S1), Diploma Pascasarjana, Gelar Professional, Magister (S2)",Penuh Waktu,"Manufaktur,Pembelian/Manajemen Material","Asuransi kesehatan;Waktu regular, Senin - Jumat;Kasual (contoh: Kaos)",24 days,2001 - 5000 pekerja,Retail/Merchandise,"Job Description :Managing warehouse and distribution center in including inbounc, outbond, collecting & packing.  Requirements:Candidate must possess at least Bachelor's Degree in any field.At least 5 Year(s) of working experience in the related field is required for this position.Preferably Supervisor specialized in Logistics/Supply Chain or equivalent."
8581,8581,RnD Staff (Food & Beverages),Surabaya,IDR,Pegawai (non-manajemen & non-supervisor),2 tahun,"Sertifikat Professional, D3 (Diploma), D4 (Diploma), Sarjana (S1)",Kontrak,"Hotel/Restoran,Makanan/Minuman/Pelayanan Restoran","Parkir;Bisnis (contoh: Kemeja);Kesehatan, Pinjaman;Mondays-Fridays",28 days,51 - 200 pekerja,Umum & Grosir,"Requirements:Candidate must possess at least Diploma, Bachelor's Degree in Hospitality/Tourism/Hotel Management or equivalent.At least 2 Year(s) of working experience in product development, chef, and related field is required for this position.Required Skill(s): Chef, Cooking, Product Development, InnovationPreferably Staff (non-management & non-supervisor) specialized in Food/Beverage/Restaurant Service or equivalent.Interest in Product Development. Able to work underpressure.Job Description : Able to create a new productsDevelop existing productAble to conduct market analysisCalculating production cost for new productsEvaluate and improve product qualityPrepare production and procurement for new products.Work Location: Surabaya"
8589,8589,Manager Produksi (Cosmetic Manufacture Company),Bogor,IDR,Manajer/Asisten Manajer,3 tahun,Sarjana (S1),Penuh Waktu,"Manufaktur,Manufaktur","Asuransi kesehatan;Waktu regular, Senin - Jumat;Bisnis (contoh: Kemeja)",15 days,51 - 200 pekerja,Perawatan/Kecantikan/Fitnes,"Anda Mau Memberi Dampak Positif Ke Perusahaan Dengan Membangun Sistem Produksi Secara Efektif dan Efisien?Bergabunglah menjadi Production Manager PT. Multi Prestasi Mas, hanya jika anda:Memiliki pengalaman dalam mengelola lebih dari 100 karyawanTeliti, jujur dan bertanggung jawabSelalu termotivasi untuk bekerja sama dengan team secara positifSuka tantangan dan mengembangkan diri dengan hal-hal yang baruBerorientasi terhadap continuous improvement.PT. Multi Prestasi Mas adalah perusahaan pabrikasi skincare dan kosmetik, berfokus untuk menjadi yang terbaik di tingkat Asia..Didukung Oleh Pabrik Yang Berpengalaman lebih dari 15 tahun sehingga siap bersaing di pasar Internasional.Diakui secara prestisius di tingkat dunia melalui produknya, sejalan dengan visinya untuk menjadi perusahaan kosmetik terbaik di Asia.Perusahaan percaya bahwa kebebasan untuk berkreasi ditambah dengan ketekunan dan kegigihan akan membuat kerja lebih optimal dan akan selalu berdampak positif bagi dunia dengan menginspirasi banyak orang.Jika Anda tidak hanya ingin sekedar bekerja, namun juga belajar bersama di Sekolah Kehidupan ini, kami tunggu resume Anda.Tugas & Tanggung Jawab :Melakukan penyusunan perencanaan dan jadwal proses produksiMemastikan pencapaian kualitas dan kuantitas produksi serta ketepatan penyelesaian jadwal proses produksiMengelola pengembangan SDM departemen produksiBertanggung jawab atas kegiatan proses produksiMemfasilitasi ide improvement dan mengawasi improvement yang berjalanBertugas menjalankan dan implementasi semua sistem seperti CPKB, 5 R dllBENEFITS: Allowances : Tunjangan KesehatanAnnual bonus : Berdasarkan kinerja perusahaan dan pribadiTeam Celebration & Annual Rewards: Berdasarkan kinerja perusahaanPersyaratan:Usia 30 - 40 tahunMinimal  S.1 TeknikPengalaman minimal 3 tahun sebagai Production Manager (diutamakan yang berpengalaman di bidang maklon kosmetik / Farmasi)Professional, tegas, mau terus mengembangkan diri, jujurBersedia ditempatkan di Gunung Sindur, BogorHanya jika anda memenuhi criteria, Action sekarang juga!Sebelum 5 Febuari 2022All resumes will be handled strictly confidential and only shortlisted candidates will be contacted."
8607,8607,Programmer (Java),Jakarta Raya,IDR,Pegawai (non-manajemen & non-supervisor),2 tahun,"SMA, SMU/SMK/STM, Sertifikat Professional, D3 (Diploma), D4 (Diploma), Sarjana (S1)",Kontrak,"Komputer/Teknologi Informasi,IT-Perangkat Lunak","Asuransi kesehatan;Waktu regular, Senin - Jumat;Formil (contoh: Kemeja + Dasi)",27 days,1- 50 pekerja,"Konsultasi (IT, Ilmu Pengetahuan, Teknis & Teknikal)","Kualifikasi :Menguasai dan berpengalaman sebagai Java Programmer minimal 2 tahunBerpengalaman di bidang JSON, Phyton, Flutter, Syncfusion, Google Firebase, Google Map API, RESTfulAPI, GitlabBerpengalaman di bidang Java, Springboot, NodeJS, MongoDB, MySQL, OpenShift, Jenkins, GIT, DHTML, Java Script, JQuery, AngularJs, NodeJs, RESTBerpengalaman di bidang MS SQL atau Oracle DBBerpengalaman di bidang Web Application ServerBerpengalaman di bidang Mobile Application Programming (Android & iOS)Bersedia dikontrak dan menjalani training serta ikatan dinas di salah satu Bank BUMN di Indonesia.Cepat mempelajari hal yang baru dan mudah bekerjasama dengan orang lainDapat membangun kepercayaan dan berorientasi pada kualitas hasil kerjaTanggung Jawab :Analisa dan memberikan feedback atas dokumen fungsi dan teknisMelakukan end-to-end pekerjaan programming aplikasi yang telah disepakatiMaintain pengembangan aplikasi yang telah dilakukanDokumentasi atas pengembangan aplikasi yang telah dilakukan, baik teknis maupun fungsionalitasMemberikan laporan secara berkala kepada pimpinan maupun tim project yang terkait"
8616,8616,Staf Process Improvement,Surabaya,IDR,Pegawai (non-manajemen & non-supervisor),3 tahun,Sarjana (S1),Penuh Waktu,"Komputer/Teknologi Informasi,IT-Admin Jaringan/Sistem/Database",Asuransi kesehatan;Bisnis (contoh: Kemeja),23 days,1001 - 2000 pekerja,Manufaktur/Produksi,"Mempunyai tugas untuk membangun dan memelihara proses kebijakan serta menganalisa implementasi dan mengevaluasi keefektifan proses operasional yang berjalan baik secara software maupun non software.Menganalisa dan dapat mendefinikan isu, masalah yang ada maupun yang berpotensi terjadi dalam proses operasional yang berjalan.Menganalisa dan membuat proposal improvement untuk memperbaiki ataupun meminimalisir isu dan masalah agar berjalan sesuai ketentuan dan kebijakan perusahaan.Pemantauan secara berkala proses operasional baru yang sudah diimplementasi dalam rentang waktu tertentu untuk mengevaluasi target perbaikan yang tercapai.Berkoordinasi dan bekerjasama dengan tim IT yang lain maupun pekerja yang lainnya agar operasional berjalan dengan baik.Kriteria :S1 Teknik Informatika / S1 Teknik Industri.Minimal IPK 3.00.Memiliki pengalaman yang sesuai minimal 3 tahunMemiliki kerjasama yang baik.Memiliki kemampuan memecahkan masalah.Memiliki pemikiran analisis yang kuat.Memiliki kemampuan komunikasi yang baik secara publik dan interpersonal.Dapat menghadapi orang dari berbagai displin ilmu"
8621,8621,STAFF OPERASIONAL PEMBUKAAN GERAI,Jakarta Utara,IDR,Pegawai (non-manajemen & non-supervisor),2 tahun,"SMA, SMU/SMK/STM, Sertifikat Professional, D3 (Diploma), D4 (Diploma), Sarjana (S1)",Penuh Waktu,"Lainnya,Pekerjaan Umum","Asuransi Gigi;Asuransi kesehatan;Parkir;Waktu regular, Senin - Jumat;Kasual (contoh: Kaos)",26 days,1- 50 pekerja,Lainnya,"Deskripsi pekerjaan:Melakukan survei lokasi toko RELX eksisting maupun yang akan di buka Memastikan pengerjaan toko RELX oleh kontraktor sesuai dengan standar yang ditentukanMelakukan pengecekan berkala dan perbaikan di semua toko RELX dengan berkoordinasi ke setiap area koordinator toko terkait kekurangan maupun kerusakan yang ada di tokoMempersiapkan kebutuhan stok produk, POS, POSM saat persiapan pembukaan toko RELX maupun toko eksistingMendistribusikan kebutuhan stok produk, POS, POSM saat persiapan pembukaan toko RELX maupun toko eksistingMelakukan koordinasi dengan tim logistik Ajusta terkait pengiriman stok produk, POS, POSM ke setiap pembukaan toko baru maupun eksisting Persyaratan:Pendidikan minimal D-3 / S-1Diutamakan berpengalaman di bidang pembukaan gerai ritelBisa bekerja secara cepatFamiliar dengan daerah di JabodetabekTerbiasa bekerja memenuhi target"
8624,8624,Training Specialist,Jakarta Timur,IDR,Supervisor/Koordinator,3 tahun,Sarjana (S1),Penuh Waktu,"Pendidikan/Pelatihan,Pelatihan & Pengembangan","Waktu regular, Senin - Jumat;Bisnis (contoh: Kemeja);-",18 days,1- 50 pekerja,Kesehatan/Medis,"Principal Duties and ResponsibilitiesExecute training activity and ensuring activity done without any missedCooperate through institution or related party regarding education programProposed an idea or strategy in order to improve and modified activityCreate and propose Standard Operational ProcedureCreate and modified training module based on any information update and present to Training Asst.Manager before implementedManage training activity from all LOB being reported as training activity data base, to timely reportedActively coordinated with other department for any matters of sectional purposeCascading information through related department of any training activityDesign training need analysis based on company needed to improve productivityCreate and modified education program to be matched with company needsTo perform and support any additional tasks instructed to accomplish the company goalsExpected Areas of CompetenceExcellent verbal and written communication skills.Computer literate with prior database processing experience.Extraordinary organizational skills.Extreme attention to detail and accuracy.Knowledge of Biotechnology & Pharmaceutical, regulations, practices, and guidelines strongly preferred.Provide solutions to a variety of technical problems of moderate scope and complexityWorks under general supervision.Education/Experience RequirementsA minimum of a bachelor degree in any scientific, business, communications, training, or education field is preferred or equivalent experience.Knowledge of Learning Management Systems is strongly preferred.A minimum of 3 years of work related experienceStrong Knowledge of Biotechnology and/or pharmaceutical manufacturing environment strongly preferred."
8633,8633,Sales Elektronik dan Car Audio System Jakarta,Jakarta Timur,IDR,Pegawai (non-manajemen & non-supervisor),1 tahun,"SMA, SMU/SMK/STM",Penuh Waktu,"Penjualan / Pemasaran,Penjualan Ritel",Asuransi kesehatan;Kasual (contoh: Kaos),20 days,51 - 200 pekerja,Elektrikal & Elektronik,"Uraian Tugas:Menjaga hubungan baik dengan customer yang sudah adaMemiliki sales yang baik untuk approach customersMelakukan penjualan alat-alat elektronik seperti : air cooler, vacum cleaner, speaker, blender, rice cooker, dispenser, microwave, water heater, mesin kopi, dllMelakukan penjualan car audio system seperti : aplifier, speaker, subwoofer, head unit, headrest, over head monitor, dllMampu menangani komplain customerKualifikasi:Penempatan Kantor Jakarta, Kawasan Industri Pulogadung Jl. Rawa Gelam 3 No.2Usia 23 – 35 tahunPendidikan minimal SMA/sederajatPengalaman sebagai sales alat-alat elektronik selama minimal 1 tahun (Lulusan baru dipersilahkan melamar)Mempunyai kemampuan komunikasi yang baik dan kemampuan negosiasiMau bekerja kerasMempunyai kendaraan pribadi (motor)"
8636,8636,Branch Manager,Mataram,IDR,Manajer/Asisten Manajer,3 tahun,Sarjana (S1),Penuh Waktu,"Penjualan / Pemasaran,Pemasaran/Pengembangan Bisnis",Asuransi kesehatan;Formil (contoh: Kemeja + Dasi);Senin - Sabtu,20 days,51 - 200 pekerja,Kesehatan/Medis,"Kualifikasi:Kandidat harus memiliki setidaknya Gelar Sarjana di bidang apapun.Bahasa yang harus dimiliki: English, Bahasa IndonesiaSetidaknya memiliki 3 tahun pengalaman dalam bidang yang sesuai untuk posisi ini.Kemampuan yang harus dimiliki: sales, business development, marketing, operationalLebih disukai Manajer/Asisten Manajer khusus dalam Pemasaran/Pengembangan Bisnis atau setara.Deskripsi Pekerjaan:Mencapai target penjualan sesuai yang telah ditetapkan setiap bulannyaPengelolaan stock cabang.Pengelolaan biaya operasionalMengontrol pelayanan konsultan terhadap pasienMengembangkan usaha/jaringan baruMemastikan kenyamanan dan keamanan lingkungan kerjaMembina hubungan baik dengan anggota tim dan antar departemenMengevaluasi penilaian kinerja tim dibawahnyaMemperluas dan mengelola hubungan baik dengan pelanggan, Rumah Sakit, Komunitas, Instansi Pemerintah dan Swasta"
8657,8657,Driver / Custodian Branch Balikpapan,Balikpapan,IDR,Lulusan baru/Pengalaman kerja kurang dari 1 tahun,3 tahun,"SMA, SMU/SMK/STM, Sertifikat Professional, D3 (Diploma), D4 (Diploma), Sarjana (S1)",Kontrak,"Lainnya,Lainnya/Kategori tidak tersedia",Tip;Asuransi kesehatan;Bisnis (contoh: Kemeja);24 Hours / 7 Days,24 days,1001 - 2000 pekerja,Konsultasi (Bisnis & Manajemen),Rincian Pekerjaan: Memeriksa kendaraan operasional sebelum melakukan pengantaran.Mengantar barang sampai dengan tempat tujuan sesuai dengan perintah kerja (planning) dan SOP.Melakukan pencatatan penerimaan barang sesuai dengan prosedur yang ditentukan.Melakukan pekerjaan lain yang ditentukan oleh atasan. Kualifikasi: Maksimal umur 35 tahun.Minimail pendidikan SMA / SMK sederajat.Memiliki SIM A/B1 yang masih berlaku.Lancar mengemudi kendaraan.Bersedia mengikuti proses pemeriksaan latar belakang.Melampirkan SKCK yang masih berlaku.Bersedia Bekerja Shift dan ditempatkan di cabang kita.Sehat Jasmani dan Rohani.
8664,8664,Sales Executive,Jakarta Raya,IDR,Pegawai (non-manajemen & non-supervisor),3 tahun,"SMA, SMU/SMK/STM",Penuh Waktu,"Penjualan / Pemasaran,Penjualan Ritel",Tip;Asuransi kesehatan;Parkir;Bisnis (contoh: Kemeja),27 days,51 - 200 pekerja,Elektrikal & Elektronik,"Anda seorang yang ahli dalam Penjualan dan ingin membangun karir di Perusahaan Lighting & Electrical Products Terbesar dan Tersebar di Asia Tenggara?Anda memiliki komunikasi yang baik dan berpengalaman dalam menjual produk retail ?  Jadilah SALES EXECUTIVE di PT Mitra Amertha Sejahtera, hanya jika Anda :Memiliki kemampuan dalam hal penjualan (sales)Terbiasa menghadapi konsumen dalam perdagangan retailMampu berkomunikasi dengan baik dan persuasifPT. Mitra Amertha Sejahtera adalah perusahaan Principle dari merek MEVAL, a Regional Brand for Quality Lighting and Electrical Products:Sebagai Exclusive Distributor dari produk Electrical Lighting dengan kualitas dan merek GlobalBerkantor pusat di Singapore dengan wilayah operasional di Philiphines, Indonesia dan VietnamMemiliki Visi : We light up more worlds by providing more affordable durable lighting power solutionsMemiliki Value: Customer Satisfaction, Integrity, Continuous Improvement, Flexibility dan Commitment Tugas & Tanggung Jawab :Memperkenalkan brand & produk MEVAL dan melakukan penetrasi pasarMencapai target yang ditentukan perusahaanMenjalin dan mengelola hubungan yang baik dengan outletMencari outlet baru yang dapat bekerja sama dengan MEVALMemperluas jaringan pasar dan memberikan pelayanan terbaik terhadap konsumen Kualifikasi :Memiliki minimum pendidikan SMA/sederajatMemiliki kemampuan komunikasi yang baik; Persuasif, NegosiasiMemiliki pengalaman selama 3 tahun di bidang sales, terutama di industri Elektrikal/FMCG/Retail/Building Material lebih disukaiPribadi yang energik, inisiatif, pekerja keras, jujur dan bertanggung jawabBerorientasi terhadap target dan hasilDapat bergabung secepatnyaFasilitas :Attractive Remuneration packageCareer DevelopmentBPJS TK dan KesehatanInsentif bulanan berdasarkan target achievementOpportunity to grow. Hanya Jika Anda memenuhi kriteria, ACTION sekarang juga sebelum 20 Februari 2022! NB: Cantumkan spesifik domisili dan NO HP / WA pada CV Anda"
8681,8681,Sales Canvasser,Jawa Timur,IDR,Pegawai (non-manajemen & non-supervisor),2 tahun,"SMA, SMU/SMK/STM, Sertifikat Professional, D3 (Diploma), D4 (Diploma), Sarjana (S1)",Penuh Waktu,"Penjualan / Pemasaran,Penjualan Ritel",Asuransi kesehatan;Seragam;Senin-Sabtu,7 days,51 - 200 pekerja,Retail/Merchandise,"Setidaknya memiliki 2 tahun pengalaman dalam bidang yang sesuai untuk posisi ini.Kemampuan yang harus dimiliki: Sales, Promosi, BrandingUsia maksimal 30 tahunMinimal lulusan SMABersedia ditempatkan di Luar Kota / PulauBersedia kanvas/kelilingAktif, komunikatif, inisiatif, jujur dan disiplinMampu menawarkan dan berjualan barangBerpengalaman di bidang sales lebih diutamakanMampu bekerja dengan target dan dibawah tekanan."
8686,8686,Financial Planning Analysis Senior Officer,Jakarta Pusat,IDR,Manajer/Asisten Manajer,3 tahun,Tidak terspesifikasi,Penuh Waktu,"Akuntansi / Keuangan,Akuntansi Umum / Pembiayaan","Waktu regular, Senin - Jumat;Bisnis (contoh: Kemeja);-",18 days,1- 50 pekerja,Kesehatan/Medis,"Task/Duty/Responsibility Coordinate the annual budgeting process.Prepare monthly, quarterly, and annually management financial report (Actual vs Budget and its analysis).Prepare forecasts at monthly basis (minimum quarterly basis).Responsible for budget update in the system.Prepare any tailored financial report or model for any purpose as requested or assigned by management.Seek ways to improve financial reports by review the statutory financial reports.Other ad hoc assignment from Financial Controller and Management as necessary. Required Qualifications (Skills, Knowledge, and Abilities) Bachelor’s Degree in Business administration, Finance, Accounting or closely related field; Relevant Magister Degree highly preferred.2-5 years’ work experience in big 4 Public Accountant highly preferred.Advance proficiency in Microsoft Excel and experience with financial systems integration.Experience in budgeting and budget planning including development of annual budgets, forecasting and variance analysis.Knowledge of ERP system"
8703,8703,Area Sales Manager - Bali (ID: 540674),Denpasar,IDR,Supervisor/Koordinator,5 tahun,Sarjana (S1),Penuh Waktu,"Penjualan / Pemasaran,Penjualan Ritel","Asuransi kesehatan;Waktu regular, Senin - Jumat;Bisnis (contoh: Kemeja)",26 days,1001 - 2000 pekerja,Manajemen/Konsulting HR,"PERSOLKELLY is one of the largest recruitment companies in Asia Pacific providing comprehensive end-to-end workforce solutions to clients., allowing us to draw upon their connections as one of the largest recruitment companies in Asia Pasific.We are now looking for a position as Area Sales Manager for building material products with key responsibilities as below :Responsible for the overall sales performance of Bali regionPerform, present, and report sales duties for themselves.Managed teams of sales people to achieve sales goals.Setting sales goals to training and supporting teams in order to help them achieve those goals.Manage and gain collaboration with distributor to achieve goals.Direct responsible to Regional Sales Manager position.We look forward for potentials talents meet requirements as below:Bachelor degree from reputable universities.At least 5 years experiences handle retail segment from consumer goods or building materials, automotive, or pharmaceutical are preferred.Proven target achiever.Able to work with minimum supervisionExtensive roles to develop market in Bali area for more than five years..Wlling to be placed at Denpasar (pereferably domicile in Denpasar)"
8706,8706,Distributor Sales Manager (DSM).Industrial/B2B,Banjar,IDR,Manajer/Asisten Manajer,5 tahun,Sarjana (S1),Penuh Waktu,"Penjualan / Pemasaran,Pemasaran/Pengembangan Bisnis",Bisnis (contoh: Kemeja);BPJS;Senin - Sabtu,28 days,1- 50 pekerja,Minyak/Gas/Petroleum,"Membentuk team sales yang memiliki pola kerja yang berintegritas tinggi, sehat,kompetitif dan solid mengacu kepada target yang ditetapkan perushaan Membuat plan (perencanaan) kerja secara rutin harian-mingguan-bulanan -quarter hingga tahunan.Membuatkan breakdown target menjadi mudah dan dapat tercapai dengan maksimalMelakukan evaluasi juga monitor atas efektivitas semua proses sales operation,identifikasi problem, dan memberikan dan melakukan problem solving yang tepatMenjalin dan membina hubungan bisnis yang sehat dan harmonis dengan customer dan pihak lainnya yang terlibat secara langsung dan tidak langsung terhadap operasional kerja perushaan Melakukan coaching , training ,motivasi dan pendampingan ke Team Sales agar bisa menjalankan tugas dan fungsi yang maksimal dan produktif. Menjalankan visi dan misi perusahaan dengan maksimal dan berkesinambungan. Membuat ,mengolah dan menyampaikan data presentasi dan laporan kepada mitra usaha perusahaan baik prinsipal/supplier maupun customer.Membuat strategi dan taktik Sales agar bisa memaksimalkan potensi Team Sales, potensi market dan penetrasi market yang agresive,sehat dan profitable bagi perushaan.Bertanggung jawab atas semua kegiatan ,kinerja dan pola sistem kerja atas seluruh kegiatan operasional team sales ,marketing dan promosiMemberikan kemampuan profesional secara optimal bagi kepentingan perusahaan.Membuat laporan kegiatan kepada Direktur Utama setiap 1 (satu) bulan sekali sebagai pertanggungjawaban seluruh aktivitas manajemen pemasaran, penjualan dan promosi.Mentaati seluruh kebijakan dan prosedur yang ditetapkan perusahaan.Memberikan hasil yang signifikan terhadap perkembangan dan kemajuan perusahaanMengelola budget/keuangan yang di berikan dengan sehat, efektif dan efisien sesuai tujuan kegiatan atas budget tersebut.Menjalankan SOP dan Peraturan yang berlaku diperusahaan."
